learning_rate,buffer_size,learning_starts,batch_size,tau,gamma,train_freq,gradient_steps,target_update_interval,exploration_fraction,exploration_initial_eps,exploration_final_eps,avg_reward
0.0003,200000,1000,64,0.9,0.99,16,8,1000,0.4,1.0,0.01,169.99963
0.0001,200000,1000,64,1.0,0.98,8,4,1000,0.3,1.0,0.05,169.99963
0.0001,100000,1000,128,0.9,0.99,16,4,1000,0.3,1.0,0.05,168.99963
0.0003,200000,1000,64,0.9,0.98,8,4,1000,0.3,1.0,0.01,169.99963
0.0003,200000,1000,128,0.9,0.98,8,8,500,0.4,1.0,0.01,1215.9998
0.0003,100000,5000,128,1.0,0.99,16,8,500,0.4,1.0,0.05,169.99963
0.0001,200000,1000,64,0.9,0.98,8,4,1000,0.4,1.0,0.01,169.99963
0.0001,100000,5000,128,0.9,0.98,16,8,1000,0.3,1.0,0.05,169.99963
0.0001,200000,1000,64,1.0,0.98,16,8,500,0.4,1.0,0.05,169.99963
0.0003,100000,5000,128,1.0,0.99,16,4,1000,0.4,1.0,0.05,169.99963
