learning_rate,n_steps,batch_size,n_epochs,gamma,gae_lambda,clip_range,ent_coef,avg_reward
0.0003,1024,32,10,0.99,0.95,0.3,0.02,-530.9997
0.0001,2048,32,10,0.98,0.95,0.2,0.01,1343.9984
0.0001,1024,64,5,0.98,0.9,0.3,0.01,-362.99973
0.0001,2048,32,10,0.98,0.9,0.2,0.01,1334.9985
0.0003,2048,64,5,0.98,0.9,0.3,0.01,1786.45
0.0003,2048,64,5,0.98,0.9,0.3,0.02,1781.5002
0.0001,2048,32,10,0.98,0.9,0.2,0.02,1341.9984
0.0001,2048,64,10,0.98,0.95,0.2,0.02,-362.99973
0.0001,1024,64,5,0.99,0.9,0.3,0.01,166.99965
0.0001,1024,64,10,0.99,0.9,0.3,0.02,1280.9984
